Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
6639,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.3245665431022644,1.0597590208053589,0.4755750298500061
6723,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.2892148792743683
6723,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.3080956041812897,1.0423473119735718,0.4815320372581482
6806,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451420426368713,-0.2892148196697235
6806,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.2869536876678467,1.0287328958511353,0.486954003572464
6890,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921496868133545
6890,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.2651249170303345,1.023099660873413,0.4907473027706146
6974,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419830322266,-0.2892148792743683
6974,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.24473837018013,1.0267553329467773,0.49265047907829285
7057,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921499848365784
7057,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.23510940372943878,1.0382285118103027,0.4941977858543396
7141,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921499848365784
7141,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.23459768295288086,1.0548646450042725,0.4950183629989624
7224,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.745141863822937,-0.28921499848365784
7224,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.23885519802570343,1.0749411582946777,0.49402347207069397
7308,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419830322266,-0.2892149090766907
7308,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.24811561405658722,1.0985218286514282,0.4912397265434265
7391,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451421022415161,-0.2892148494720459
7391,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.25983184576034546,1.1215319633483887,0.4880485534667969
7475,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451421022415161,-0.2892148494720459
7475,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.27028608322143555,1.1433783769607544,0.48371344804763794
7558,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419830322266,-0.2892148196697235
7558,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.2788959741592407,1.1631423234939575,0.47893550992012024
7641,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921499848365784
7641,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.28524327278137207,1.1813498735427856,0.4743829369544983
7712,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921499848365784
7712,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.2884101867675781,1.1944255828857422,0.47095462679862976
7795,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921496868133545
7795,,,,2022-10-19 9:37:13 AM,FingerFollowData,,,RightControllerPosition,0.2897782325744629,1.2080094814300537,0.4668080806732178
