Value.ElapsedTime,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
4818,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.11662702262401581,1.0825639963150024,0.1741311252117157,,
4902,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4902,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.15635551512241364,1.046643614768982,0.2393427938222885,,
4985,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4985,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.19426307082176208,1.0011783838272095,0.2947160601615906,,
5069,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
5069,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.22482436895370483,0.9586701989173889,0.33125579357147217,,
5152,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
5152,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.24806997179985046,0.923493504524231,0.3621920347213745,,
5236,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
5236,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.25910279154777527,0.89798504114151,0.3805743157863617,,
5319,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
5319,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.26215022802352905,0.8870542049407959,0.3941703736782074,,
5403,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
5403,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.26148197054862976,0.8909901976585388,0.3942309021949768,,
5486,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
5486,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.26244881749153137,0.8976191282272339,0.39693087339401245,,
5570,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
5570,,,2022-10-20 10:53:51 AM,FingerNoseData,,,RightControllerPosition,-0.2692444324493408,0.8969331979751587,0.39518892765045166,,
