Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
4984,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.031786926,1.176842213,0.492419481,,,,
5053,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.069338903,1,,
5067,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5067,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.025663663,1.176528454,0.490009576,,,,
5151,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5151,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.021965578,1.181148648,0.489119977,,,,
5234,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5234,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.019212291,1.182043433,0.488825887,,,,
5318,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5318,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.017403636,1.180974603,0.487670481,,,,
5388,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5388,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.025364554,1.188597798,0.491898656,,,,
5472,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5472,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.026813576,1.189920187,0.491514623,,,,
5485,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.417594641,1,,
5555,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5555,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.031064851,1.188361764,0.495346427,,,,
5638,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.070010096,1,,
5639,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5639,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.030725727,1.187125564,0.494881392,,,,
5722,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5722,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.029225001,1.185476184,0.496233433,,,,
