Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
54364,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.1313174068927765,-0.07199104875326157,0.5670348405838013
54447,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54447,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.1268664002418518,-0.07428871095180511,0.5732865929603577
54530,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54530,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.12081994861364365,-0.07628712803125381,0.5727481842041016
54614,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54614,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.12044183164834976,-0.08021768927574158,0.5700045228004456
54696,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54696,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.1148601770401001,-0.07455473393201828,0.560348629951477
54782,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54782,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.11038880050182343,-0.07656314224004745,0.5526007413864136
54864,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54864,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.10895939916372299,-0.06894423067569733,0.5476855635643005
54947,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54947,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.1038716658949852,-0.06939138472080231,0.5355862379074097
55030,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55030,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.09388376772403717,-0.07774783670902252,0.5051165223121643
55114,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55114,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.08243363350629807,-0.09661804884672165,0.45469456911087036
55198,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55198,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.06999152898788452,-0.144648477435112,0.4047050476074219
55282,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55282,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.059067778289318085,-0.1943652629852295,0.3727701008319855
55352,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55352,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.05075434222817421,-0.23141999542713165,0.3580193817615509
