Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
219536,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37970155477523804,0.716410219669342,0.2844940721988678,,
219604,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616017460823059,-0.31104031205177307,,
219604,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.38281506299972534,0.7151709198951721,0.28284138441085815,,
219619,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616017460823059,-0.31104037165641785,,
219619,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3831421732902527,0.7151616811752319,0.28290435671806335,,
219619,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616017460823059,-0.31104037165641785,,
219619,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3831421732902527,0.7151616811752319,0.28290435671806335,,
219675,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620215892791748,0.7616016864776611,-0.31104063987731934,,
219675,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3849242925643921,0.7153756618499756,0.2839423418045044,,
219702,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016864776611,-0.3110402822494507,,
219702,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.38532114028930664,0.7157565355300903,0.2849578857421875,,
219703,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016864776611,-0.3110402822494507,,
219703,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.38532114028930664,0.7157565355300903,0.2849578857421875,,
219758,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.3110405206680298,,
219758,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.38519737124443054,0.716395914554596,0.28709468245506287,,
219786,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.761601448059082,-0.3110405206680298,,
219786,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.384845107793808,0.7165193557739258,0.2880125641822815,,
219786,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.761601448059082,-0.3110405206680298,,
219786,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.384845107793808,0.7165193557739258,0.2880125641822815,,
219842,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
219842,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.38424140214920044,0.7168725728988647,0.2895640432834625,,
219869,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.3110405206680298,,
219869,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3837583065032959,0.7167758345603943,0.29009610414505005,,
219870,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.3110405206680298,,
219870,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3837583065032959,0.7167758345603943,0.29009610414505005,,
219925,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016864776611,-0.3110402226448059,,
219925,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3826257884502411,0.7163573503494263,0.29109230637550354,,
219952,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.96202152967453,0.7616015076637268,-0.3110407888889313,,
219952,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.38223397731781006,0.7161927819252014,0.29142844676971436,,
219953,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.96202152967453,0.7616015076637268,-0.3110407888889313,,
219953,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.38223397731781006,0.7161927819252014,0.29142844676971436,,
220009,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.3110404908657074,,
220009,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3812785744667053,0.7163541913032532,0.29243916273117065,,
220036,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620215892791748,0.7616016864776611,-0.31104063987731934,,
220036,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3811655640602112,0.7169462442398071,0.2930378019809723,,
220037,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016268730164,-0.3110401928424835,,
220037,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.38116908073425293,0.7168834209442139,0.2929794192314148,,
220092,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.31104037165641785,,
220092,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.38169747591018677,0.7199329137802124,0.2945338189601898,,
220119,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616017460823059,-0.31104031205177307,,
220119,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3821881413459778,0.7216939330101013,0.295050710439682,,
220120,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616017460823059,-0.31104031205177307,,
220120,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3821881413459778,0.7216939330101013,0.295050710439682,,
220176,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620215892791748,0.7616016268730164,-0.31104061007499695,,
220176,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.38349997997283936,0.7260836362838745,0.29586830735206604,,
220203,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.3110405206680298,,
220203,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3843151926994324,0.7284111380577087,0.2960202991962433,,
220204,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.3110405206680298,,
220204,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3843151926994324,0.7284111380577087,0.2960202991962433,,
220259,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.3110404908657074,,
220259,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3863111138343811,0.7329816222190857,0.2957112789154053,,
220286,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.761601448059082,-0.3110405206680298,,
