Value.CurrentRepetition,Value.Delay,Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,,7049,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.08679170161485672,1.1203830242156982,0.40205517411231995
,,7132,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,7132,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.058643363416194916,1.1022535562515259,0.3167494237422943
,,7216,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096116155385971
,,7216,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.049936529248952866,1.0908794403076172,0.2582968771457672
,,7299,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166686296463013,0.7794277667999268,0.11096099764108658
,,7299,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.04708589240908623,1.0929152965545654,0.22125782072544098
,,7383,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,7383,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.04442489147186279,1.0948724746704102,0.19762088358402252
,,7466,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,7466,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.04714473709464073,1.0992435216903687,0.21869437396526337
,,7550,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,7550,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.05321429297327995,1.1320899724960327,0.3021668493747711
,,7633,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,7633,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.0521794855594635,1.1825060844421387,0.3916364908218384
,,7717,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,7717,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.057617928832769394,1.2092547416687012,0.4675736427307129
6,1114,7800,,2022-09-28 12:21:24 PM,,,,FingerNoseData,,,
,,7801,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794278264045715,0.11096113920211792
,,7801,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.06502023339271545,1.2185015678405762,0.5136428475379944
,,7884,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096124351024628
,,7884,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.07520812004804611,1.2177207469940186,0.5270187258720398
,,7968,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096124351024628
,,7968,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.07319062203168869,1.2262464761734009,0.5353444218635559
,,8051,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,8051,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.0663762018084526,1.224362850189209,0.517018735408783
,,8135,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794278264045715,0.11096113920211792
,,8135,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.05520307645201683,1.2085933685302734,0.4692973494529724
,,8218,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,8218,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.045770298689603806,1.1733922958374023,0.3909384310245514
,,8301,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,8301,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.03985052555799484,1.124451994895935,0.308490514755249
,,8385,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,8385,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.03307133913040161,1.1034467220306396,0.25425463914871216
,,8468,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280052185059,0.11096113175153732
,,8468,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.03030496835708618,1.0934017896652222,0.21054944396018982
,,8552,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113175153732
,,8552,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.029505236074328423,1.091328501701355,0.19038578867912292
,,8635,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096124351024628
,,8635,,2022-09-28 12:21:25 PM,FingerNoseData,,,RightControllerPosition,-0.030196785926818848,1.0919146537780762,0.1850694864988327
,,8705,,2022-09-28 12:21:25 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122860908508
