Value.ElapsedTime,Value.Scenario,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
40329,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.12766426801681519,-0.26097482442855835,0.19535252451896667
40413,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40413,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.12090615928173065,-0.25904718041419983,0.1607244461774826
40496,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40496,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.117762990295887,-0.27696692943573,0.1357652246952057
40580,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40580,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.11709526926279068,-0.28745776414871216,0.13536415994167328
40663,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40663,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.12021707743406296,-0.27605846524238586,0.13987308740615845
40747,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40747,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.12729507684707642,-0.2667950391769409,0.14449089765548706
40830,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40830,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.13623885810375214,-0.2771371603012085,0.14986878633499146
40914,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40914,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.13937564194202423,-0.2962219715118408,0.1495804488658905
40998,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40998,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.1372401863336563,-0.3034411072731018,0.1439720243215561
41081,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41081,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.13482293486595154,-0.2871861159801483,0.1560274213552475
41165,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41165,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.13163438439369202,-0.252978652715683,0.18888473510742188
41248,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41248,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.12596628069877625,-0.2159648984670639,0.23326317965984344
41331,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41331,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.11614017933607101,-0.17773182690143585,0.27961575984954834
41402,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41402,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.10550221800804138,-0.14433123171329498,0.30586951971054077
41485,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41485,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.09424284845590591,-0.10439300537109375,0.3301864266395569
41568,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41568,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.08447861671447754,-0.06403402984142303,0.36347082257270813
41652,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41652,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.0738706886768341,-0.020244503393769264,0.3988942801952362
41736,,2022-10-11 11:42:21 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41736,,2022-10-11 11:42:21 AM,,PegboardData,,,RightControllerPosition,-0.06399818509817123,0.031955040991306305,0.41650140285491943
41819,,2022-10-11 11:42:22 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41819,,2022-10-11 11:42:22 AM,,PegboardData,,,RightControllerPosition,-0.06121043860912323,0.08398858457803726,0.44282618165016174
41903,,2022-10-11 11:42:22 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41903,,2022-10-11 11:42:22 AM,,PegboardData,,,RightControllerPosition,-0.06938595324754715,0.11163374036550522,0.4952898919582367
41986,,2022-10-11 11:42:22 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
41986,,2022-10-11 11:42:22 AM,,PegboardData,,,RightControllerPosition,-0.08246578276157379,0.11564723402261734,0.5389559268951416
42070,,2022-10-11 11:42:22 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
